Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,-0.07030647441844044,Sports,Nintendo,50.48050837815116,57.13692978140741,11.938057591705979,44.60608533722805,52.864025047447576
2,Super Mario Bros.,NES,-3.702881815651125,Platform,Nintendo,35.28443669319249,6.794188303888322,21.767296206863563,3.828224418369714,25.53250298253436
3,Mario Kart Wii,Wii,0.27565308188943427,Racing,Nintendo,19.0842732450053,25.197784834585157,12.002723635226753,17.29711476087949,22.69002468778338
4,Wii Sports Resort,Wii,0.4486328600433716,Sports,Nintendo,18.961823029977428,21.49727671497192,10.353739525447025,15.441165304234444,20.876497811946788
5,Pokemon Red/Pokemon Blue,GB,-1.800104255957814,Role-Playing,Nintendo,13.476053396728854,17.302048258512,32.79285662715546,5.047848347022174,19.828253553927762
6,Tetris,GB,-3.0109627030353754,Puzzle,Nintendo,28.084364049553738,4.182064925337802,13.393043570923382,2.8207089990481164,19.114418507055912
7,New Super Mario Bros.,DS,-0.07030647441844044,Platform,Nintendo,13.610748633259513,17.974867916623495,20.764972532291573,15.123002540238149,18.95364484785054
8,Wii Play,Wii,-0.07030647441844044,Misc,Nintendo,16.855679331498063,17.91550147620189,9.222083763833488,14.857866903574571,18.316981157397265
9,New Super Mario Bros. Wii,Wii,0.4486328600433716,Platform,Nintendo,17.541400535654137,13.680695392794235,14.94502861542195,11.729266390944346,18.05974330266867
10,Duck Hunt,NES,-3.875861593805062,Shooter,Nintendo,32.65175707009329,0.9564883290973893,0.6538329973309883,2.237410598388245,17.86038396525401
11,Nintendogs,DS,-0.2432862525723778,Simulation,Nintendo,10.782148666115717,21.477487901498055,5.988781587794809,14.327595630247414,15.57739800453773
12,Mario Kart DS,DS,-0.2432862525723778,Racing,Nintendo,11.688280257321955,14.689924879961481,13.102046375079903,9.926344061632014,14.715651191196937
13,Pokemon Gold/Pokemon Silver,GB,-1.281164921496002,Role-Playing,Nintendo,10.696433515596208,11.939279807093888,23.028284055518647,3.5100616543734198,14.50986090741406
14,Wii Fit,Wii,0.1026733037354969,Sports,Nintendo,10.622963386579485,15.600210299759388,11.388396221779404,11.145967990284475,14.265484945421894
15,Wii Fit Plus,Wii,0.4486328600433716,Sports,Nintendo,10.806638709121291,16.70838385429597,7.928762893418017,9.23699140630671,13.802456806910424
16,Kinect Adventures!,X360,0.6216126381973089,Misc,Microsoft Game Studios,18.006711352760043,9.485466936334312,0.524500910289441,8.600665878314123,13.686699772282555
17,Grand Theft Auto V,PS3,1.140551972659121,Action,Take-Two Interactive,8.259674236541596,18.054023170518963,2.884811498797677,21.698366329494885,13.41660002481753
18,Grand Theft Auto: San Andreas,PS2,-0.41626603072631513,Action,Take-Two Interactive,11.222969440216048,0.5013456191984353,1.0741622802160165,55.794809204431054,13.037174189092852
19,Super Mario World,SNES,-2.837982924881438,Platform,Nintendo,15.32505164364969,7.13059813294407,11.194398091217083,2.66162761704997,12.908555261728555
20,Brain Age: Train Your Brain in Minutes a Day,DS,-0.2432862525723778,Misc,Nintendo,5.492299376911735,18.034234357045097,13.199045440361063,10.615696716957318,12.657748353368175
21,Pokemon Diamond/Pokemon Pearl,DS,-0.07030647441844044,Role-Playing,Nintendo,7.537217967877163,8.654336770431872,19.27765353131378,7.009852058332654,11.461592328880208
22,Super Mario Land,GB,-3.0109627030353754,Platform,Nintendo,12.937272450606228,5.072561531661844,13.263711483881835,1.9722749617246664,11.320111508779481
23,Super Mario Bros. 3,NES,-3.183942481189313,Platform,Nintendo,11.357664676746705,6.517144915254176,12.164388744028686,2.184383471055529,10.767050121113003
24,Grand Theft Auto V,X360,1.140551972659121,Action,Take-Two Interactive,11.46786987027179,10.21765303486741,-0.05749348139752118,7.062879185665368,10.188264947973662
25,Grand Theft Auto: Vice City,PS2,-0.7622255870341899,Action,Take-Two Interactive,9.973977246931776,10.573851677397027,1.2681604107783373,9.183964278973995,10.04035318150472
26,Pokemon Ruby/Pokemon Sapphire,GBA,-0.7622255870341899,Role-Playing,Nintendo,7.096397193776831,7.427430335052084,17.14367409512825,2.3964919803863918,9.847424790458277
27,Pokemon Black/Pokemon White,DS,0.6216126381973089,Role-Playing,Nintendo,6.496391140140269,6.2005238996722944,18.016665682658697,4.093360055033292,9.506584632942888
28,Brain Age 2: More Training in Minutes a Day,DS,-0.2432862525723778,Puzzle,Nintendo,3.8882015600466393,10.316597102236749,16.94967596456593,6.002336639011055,9.493722740206458
29,Gran Turismo 3: A-Spec,PS2,-0.9352053651881271,Racing,Sony Computer Entertainment,8.063753892497003,9.782299138442324,5.794783457232488,5.896282384345624,9.287932456423581
30,Call of Duty: Modern Warfare 3,X360,0.7945924163512463,Shooter,Activision,10.733168580104568,8.179405247059051,0.1688376709251864,6.744716421669075,9.146451636322855
31,Pokémon Yellow: Special Pikachu Edition,GB,-1.4541446996499392,Role-Playing,Nintendo,6.888231828229452,9.683355071072986,9.836411177280839,2.873736126380832,9.069280279904277
32,Call of Duty: Black Ops,X360,0.6216126381973089,Shooter,Activision,11.516849956282936,7.091020505996335,0.10417162740441278,5.737201002347477,9.069280279904277
33,Pokemon X/Pokemon Y,3DS,1.140551972659121,Role-Playing,Nintendo,6.006590280028789,7.724262537160097,13.781039832048025,3.934278673035146,8.882782835226045
34,Call of Duty: Black Ops 3,PS4,1.4865115289669957,Shooter,Activision,6.741291570196008,11.207093708560787,0.8801641496536958,11.994402027607926,8.812042425175681
35,Call of Duty: Black Ops II,PS3,0.9675721945051836,Shooter,Activision,5.786179892978623,11.345615402877861,1.8501548024652998,13.107971701594954,8.676992551443169
